Year,Competition,Position,Team,Games Played,Won,Lost,Draw,Scored,Conceded,Points,Comments
2006/07,Campeonato Regional Brava,2,Corôa,10.0,7.0,2.0,1.0,24.0,8.0,23,[Nossa Senhora do Monte]
2006/07,Campeonato Regional Brava,3,Benfica,9.0,5.0,1.0,3.0,15.0,14.0,16,[Nossa Senhora do Monte]
2006/07,Campeonato Regional Brava,4,Nô Pintcha,10.0,3.0,2.0,5.0,17.0,15.0,11,
2006/07,Campeonato Regional Brava,5,Académica,9.0,3.0,1.0,5.0,14.0,16.0,10,
2006/07,Campeonato Regional Brava,6,Sporting,10.0,0.0,0.0,10.0,5.0,33.0,0,
2005/06,Campeonato Regional Brava,1,Nô Pintcha,10.0,7.0,2.0,1.0,21.0,7.0,23,Champions
2005/06,Campeonato Regional Brava,2,Corôa,10.0,6.0,1.0,3.0,19.0,10.0,19,[Nossa Senhora do Monte]
2005/06,Campeonato Regional Brava,3,Académica,9.0,4.0,2.0,3.0,11.0,10.0,14,
2005/06,Campeonato Regional Brava,4,Morabeza,10.0,3.0,1.0,6.0,11.0,25.0,10,
2005/06,Campeonato Regional Brava,5,Sporting,10.0,3.0,0.0,7.0,16.0,20.0,9,
2005/06,Campeonato Regional Brava,6,Benfica,9.0,3.0,0.0,6.0,13.0,19.0,9,
2004/05,Campeonato Regional Brava,1,Morabeza,10.0,7.0,3.0,0.0,23.0,10.0,24,Champions
2004/05,Campeonato Regional Brava,2,Corôa (Nossa Senhora do Monte),10.0,5.0,3.0,2.0,22.0,12.0,18,
2004/05,Campeonato Regional Brava,3,Benfica,10.0,4.0,3.0,3.0,14.0,16.0,15,
2004/05,Campeonato Regional Brava,4,Nô Pintcha,10.0,4.0,1.0,5.0,18.0,19.0,13,
2004/05,Campeonato Regional Brava,5,Sporting,10.0,4.0,2.0,4.0,24.0,20.0,14,
2004/05,Campeonato Regional Brava,6,Académica,10.0,0.0,0.0,10.0,6.0,30.0,0,
2003/04,Campeonato Regional Brava,1,Nô Pintcha,,,,,,,18,
2003/04,Campeonato Regional Brava,2,Coroa da Brava,,,,,,,15,
2003/04,Campeonato Regional Brava,3,Morabeza,,,,,,,12,
2003/04,Campeonato Regional Brava,4,Académica,,,,,,,6,
2003/04,Campeonato Regional Brava,5,Sporting,,,,,,,4,
2003/04,Campeonato Regional Brava,6,Benfica,,,,,,,1,
2002/03,Campeonato Regional Brava,1,Nô Pintcha,8.0,8.0,0.0,0.0,12.0,3.0,24,Champions
2002/03,Campeonato Regional Brava,2,Morabeza,7.0,4.0,1.0,2.0,13.0,7.0,13,
2002/03,Campeonato Regional Brava,3,Benfica,6.0,1.0,2.0,3.0,4.0,7.0,5,
2002/03,Campeonato Regional Brava,4,Sporting,7.0,1.0,1.0,5.0,5.0,8.0,4,
2002/03,Campeonato Regional Brava,5,Académica,6.0,0.0,2.0,4.0,3.0,12.0,2,
2001/02,Campeonato Regional Brava,1,Académica,8.0,4.0,3.0,1.0,14.0,9.0,15,[Champions]
2001/02,Campeonato Regional Brava,2,Nô Pintcha,8.0,5.0,0.0,3.0,15.0,9.0,15,
2001/02,Campeonato Regional Brava,3,Morabeza,8.0,4.0,2.0,2.0,8.0,6.0,14,
2001/02,Campeonato Regional Brava,4,Benfica,8.0,2.0,1.0,5.0,9.0,17.0,7,
2001/02,Campeonato Regional Brava,5,Sporting,8.0,1.0,2.0,5.0,9.0,14.0,5,
2000/01,Campeonato Regional Brava,1,Nô Pintcha,8.0,6.0,0.0,2.0,,,18,
2000/01,Campeonato Regional Brava,2,Morabeza,8.0,5.0,2.0,1.0,,,17,
2000/01,Campeonato Regional Brava,3,Benfica,8.0,5.0,0.0,3.0,,,15,
2000/01,Campeonato Regional Brava,4,Sporting,8.0,1.0,2.0,5.0,,,5,
2000/01,Campeonato Regional Brava,5,Académica,8.0,0.0,2.0,6.0,,,2,
1998/99,Campeonato Regional Brava,1,Nô Pintcha,,,,,,,19,
1998/99,Campeonato Regional Brava,2,Académica,,,,,,,13,
