Year,Competition,Position,Team,Games Played,Won,Lost,Draw,Scored,Conceded,Points,Comments
2017/18,Campeonato Regional Boa Vista,2,Académica,14.0,9.0,3.0,2.0,29.0,11.0,30,
2017/18,Campeonato Regional Boa Vista,3,Onze Estrelas,14.0,8.0,1.0,5.0,23.0,22.0,25,
2017/18,Campeonato Regional Boa Vista,4,África Show,14.0,7.0,2.0,5.0,28.0,20.0,23,
2017/18,Campeonato Regional Boa Vista,5,Sporting,14.0,7.0,1.0,6.0,31.0,19.0,22,
2017/18,Campeonato Regional Boa Vista,6,Sanjoanense,14.0,6.0,1.0,7.0,20.0,24.0,19,
2017/18,Campeonato Regional Boa Vista,7,Juventude,14.0,4.0,1.0,9.0,17.0,34.0,13,
2017/18,Campeonato Regional Boa Vista,8,Desportivo,14.0,0.0,0.0,14.0,10.0,53.0,0,
2016/17,Campeonato Regional Boa Vista,1,Sal-Rei,14.0,10.0,2.0,2.0,35.0,10.0,32,champions [C]
2016/17,Campeonato Regional Boa Vista,2,Académica,14.0,9.0,3.0,2.0,19.0,11.0,30,
2016/17,Campeonato Regional Boa Vista,3,Onze Estrelas,14.0,8.0,3.0,3.0,27.0,11.0,27,
2016/17,Campeonato Regional Boa Vista,4,Sanjoanense,14.0,7.0,1.0,6.0,18.0,16.0,22,
2016/17,Campeonato Regional Boa Vista,5,África Show,14.0,5.0,3.0,6.0,25.0,28.0,18,
2016/17,Campeonato Regional Boa Vista,6,Sporting,14.0,4.0,2.0,8.0,16.0,18.0,14,
2016/17,Campeonato Regional Boa Vista,7,Juventude,14.0,2.0,5.0,7.0,11.0,26.0,11,
2016/17,Campeonato Regional Boa Vista,8,Desportivo,14.0,0.0,3.0,11.0,8.0,39.0,3,
2015/16,Campeonato Regional Boa Vista,1,Sal-Rei,14.0,10.0,3.0,1.0,36.0,10.0,33,champions
2015/16,Campeonato Regional Boa Vista,2,Académica,14.0,9.0,2.0,3.0,23.0,18.0,29,[C]
2015/16,Campeonato Regional Boa Vista,3,Onze Estrelas,14.0,7.0,3.0,4.0,27.0,14.0,24,
2015/16,Campeonato Regional Boa Vista,4,África Show,14.0,6.0,5.0,3.0,20.0,14.0,23,
2015/16,Campeonato Regional Boa Vista,5,Sporting,14.0,6.0,5.0,3.0,20.0,14.0,23,
2015/16,Campeonato Regional Boa Vista,6,Juventude,14.0,2.0,4.0,8.0,14.0,32.0,10,
2015/16,Campeonato Regional Boa Vista,7,Desportivo,14.0,1.0,5.0,8.0,11.0,24.0,8,
